<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,1,20160811,153400,138.95,138.97,138.92,138.96,16840
SBER,1,20160812,105200,140.57,140.58,140.4,140.53,252620
SBER,1,20160815,102600,139.7,139.76,139.61,139.74,133300
SBER,1,20160815,160000,139.29,139.31,139.23,139.3,85690
SBER,1,20160815,172000,139.5,139.53,139.38,139.52,142530
SBER,1,20160818,150100,138.62,138.62,138.46,138.6,471750
SBER,1,20160819,161400,136.11,136.13,136.06,136.13,19980
SBER,1,20160822,135500,135.47,135.52,135.39,135.51,54450
SBER,1,20160823,103500,137.57,137.62,137.51,137.6,68080
SBER,1,20160824,121900,140.03,140.03,139.96,140.02,43400
SBER,1,20160824,133700,139.83,139.83,139.79,139.82,4780
SBER,1,20160824,153000,139.51,139.51,139.42,139.5,18900
SBER,1,20160824,162600,138.58,138.62,138.53,138.6,426480
SBER,1,20160829,144500,143.61,143.61,143.57,143.6,26290
SBER,1,20160829,183400,143.38,143.38,143.31,143.36,57760
SBER,1,20160830,154400,144.75,144.81,144.62,144.79,228670
SBER,1,20160830,155500,144.99,145.02,144.95,145.01,30640
SBER,1,20160830,175100,143.35,143.37,143.27,143.37,299230
SBER,1,20160901,110000,143.76,143.76,143.63,143.74,110430
SBER,1,20160901,120700,144.25,144.25,144.17,144.23,64070
SBER,1,20160902,165200,146.73,146.73,146.67,146.71,77740
SBER,1,20160902,183200,146.61,146.63,146.5,146.58,436490
SBER,1,20160905,122400,149.18,149.18,149.05,149.14,223350
SBER,1,20160905,125300,148.97,148.97,148.93,148.96,18970
SBER,1,20160908,105000,155.24,155.24,155.16,155.22,50070
SBER,1,20160908,133000,153.94,153.94,153.84,153.92,28430
SBER,1,20160909,113000,152.11,152.11,152.05,152.1,17490
SBER,1,20160909,133000,151.72,151.74,151.66,151.74,23580
SBER,1,20160912,111400,150.2,150.2,150.15,150.19,10380
SBER,1,20160913,171400,149.96,149.98,149.9,149.98,74540
SBER,1,20160913,175900,150.12,150.12,150.09,150.11,7200
SBER,1,20160914,183500,150.49,150.5,150.45,150.5,14120
SBER,1,20160916,173800,148.4,148.4,148.37,148.39,51000
SBER,1,20160920,105600,147.93,147.93,147.89,147.92,3780
SBER,1,20160920,112300,147.14,147.2,147.05,147.18,101950
SBER,1,20160922,151300,153.02,153.03,153,153.03,66680
SBER,1,20160922,165900,154.41,154.42,154.34,154.4,15850
SBER,1,20160923,175500,150.6,150.6,150.52,150.58,42940
SBER,1,20160927,103600,148.22,148.27,148.11,148.25,224190
SBER,1,20160928,120400,148.58,148.58,148.43,148.56,86660
SBER,1,20160929,150400,148.93,148.93,148.82,148.92,108440
